# 成语整词拼音覆盖表（解决多音字/变调），数据源自 https://github.com/mozillazg/phrase-pinyin-data (MIT)
# 格式：成语 声母,韵母,声调 ×4（按字顺序）；一/不 统一回本调 1/4 声
不速之客 b,u,4 s,u,4 zh,i,1 k,e,4
不谋而合 b,u,4 m,ou,2 -,er,2 h,e,2
不计其数 b,u,4 j,i,4 q,i,2 sh,u,4
日积月累 r,i,4 j,i,1 y,ue,4 l,ei,3
风平浪静 f,eng,1 p,ing,2 l,ang,4 j,ing,4
风和日丽 f,eng,1 h,e,2 r,i,4 l,i,4
风调雨顺 f,eng,1 t,iao,2 y,u,3 sh,un,4
风雨同舟 f,eng,1 y,u,3 t,ong,2 zh,ou,1
风花雪月 f,eng,1 h,ua,1 x,ue,3 y,ue,4
水涨船高 sh,ui,3 zh,ang,3 ch,uan,2 g,ao,1
水落石出 sh,ui,3 l,uo,4 sh,i,2 ch,u,1
水滴石穿 sh,ui,3 d,i,1 sh,i,2 ch,uan,1
水到渠成 sh,ui,3 d,ao,4 q,u,2 ch,eng,2
心安理得 x,in,1 -,an,1 l,i,3 d,e,2
心平气和 x,in,1 p,ing,2 q,i,4 h,e,2
天长地久 t,ian,1 ch,ang,2 d,i,4 j,iu,3
天南地北 t,ian,1 n,an,2 d,i,4 b,ei,3
天经地义 t,ian,1 j,ing,1 d,i,4 y,i,4
天马行空 t,ian,1 m,a,3 x,ing,2 k,ong,1
自力更生 z,i,4 l,i,4 g,eng,1 sh,eng,1
自相矛盾 z,i,4 x,iang,1 m,ao,2 d,un,4
自言自语 z,i,4 y,an,2 z,i,4 y,u,3
自强不息 z,i,4 q,iang,2 b,u,4 x,i,1
名副其实 m,ing,2 f,u,4 q,i,2 sh,i,2
各抒己见 g,e,4 sh,u,1 j,i,3 j,ian,4
各有千秋 g,e,4 y,ou,3 q,ian,1 q,iu,1
同心协力 t,ong,2 x,in,1 x,ie,2 l,i,4
同甘共苦 t,ong,2 g,an,1 g,ong,4 k,u,3
同舟共济 t,ong,2 zh,ou,1 g,ong,4 j,i,4
后生可畏 h,ou,4 sh,eng,1 k,e,3 w,ei,4
后发制人 h,ou,4 f,a,1 zh,i,4 r,en,2
先见之明 x,ian,1 j,ian,4 zh,i,1 m,ing,2
光明磊落 g,uang,1 m,ing,2 l,ei,3 l,uo,4
光明正大 g,uang,1 m,ing,2 zh,eng,4 d,a,4
安居乐业 -,an,1 j,u,1 l,e,4 y,e,4
论功行赏 l,un,4 g,ong,1 x,ing,2 sh,ang,3
设身处地 sh,e,4 sh,en,1 ch,u,3 d,i,4
兴致勃勃 x,ing,4 zh,i,4 b,o,2 b,o,2
见义勇为 j,ian,4 y,i,4 y,ong,3 w,ei,2
见多识广 j,ian,4 d,uo,1 sh,i,2 g,uang,3
见异思迁 j,ian,4 y,i,4 s,i,1 q,ian,1
防微杜渐 f,ang,2 w,ei,1 d,u,4 j,ian,4
如鱼得水 r,u,2 y,u,2 d,e,2 sh,ui,3
彬彬有礼 b,in,1 b,in,1 y,ou,3 l,i,3
孜孜不倦 z,i,1 z,i,1 b,u,4 j,uan,4
宠辱不惊 ch,ong,3 r,u,3 b,u,4 j,ing,1
厚积薄发 h,ou,4 j,i,1 b,o,2 f,a,1
博大精深 b,o,2 d,a,4 j,ing,1 sh,en,1
齐心协力 q,i,2 x,in,1 x,ie,2 l,i,4
任重道远 r,en,4 zh,ong,4 d,ao,4 y,uan,3
传为美谈 ch,uan,2 w,ei,2 m,ei,3 t,an,2
伤筋动骨 sh,ang,1 j,in,1 d,ong,4 g,u,3
任劳任怨 r,en,4 l,ao,2 r,en,4 y,uan,4
汗马功劳 h,an,4 m,a,3 g,ong,1 l,ao,2
江郎才尽 j,iang,1 l,ang,2 c,ai,2 j,in,4
沐猴而冠 m,u,4 h,ou,2 -,er,2 g,uan,4
沉鱼落雁 ch,en,2 y,u,2 l,uo,4 y,an,4
